section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,1,1707240525890716129,1707240526441220129,550,871.908,1044.655,4.544790718867131,-28.124330016145606
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,2,1707240526466220129,1707240526711474129,245,797.172,876.375,-0.7063451067791666,-17.29339526222902
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,3,1707240527246974129,1707240527607351129,360,795.998,876.76,-0.7851894045515165,-17.318168430483826
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,4,1707240529288860129,1707240529914489129,625,796.906,876.401,-0.7242042937604458,-17.295048843390997
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,5,1707240529994628129,1707240530134740129,140,792.039,879.229,-1.051474143751797,-17.477301702209857
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,6,1707240531545998129,1707240531681123129,135,797.831,877.387,-0.6622661474071327,-17.35898039470377
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,7,1707240534038261129,1707240534193512129,155,796.53,875.833,-0.7494048372207432,-17.258246736174346
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,8,1707240534218512129,1707240534353638129,135,796.112,874.423,-0.7772663954277592,-17.16689323490019
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,9,1707240534498764129,1707240534573764129,75,795.206,802.207,-0.8294112977421417,-12.483507619832563
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,10,1707240534999266129,1707240535079267129,80,794.918,879.893,-0.8581720616716507,-17.52073273945315
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,11,1707240535649770129,1707240535739895129,90,797.779,807.387,-0.6593492225745226,-12.820330073954727
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,12,1707240536340398129,1707240536440524129,100,797.716,878.469,-0.6700716414971648,-17.428966708023715
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,13,1707240536470524129,1707240536600650129,130,793.284,882.739,-0.968416855361544,-17.704639003336723
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,14,1707240538157158129,1707240538897787129,740,795.8,875.378,-0.7983148741352912,-17.228681181604227
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,15,1707240538902787129,1707240539103038129,200,795.184,872.504,-0.8392799244125801,-17.042579783539612
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,16,1707240541059812129,1707240541159924129,100,797.238,812.939,-0.6956639240727678,-13.180826198033412
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,17,1707240542045803129,1707240542311054129,265,798.506,873.527,-0.6165674708861205,-17.10924792398587
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,18,1707240542701306129,1707240542796432129,95,795.653,874.977,-0.8081085988235128,-17.202689785877386
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,19,1707240543847437129,1707240544017564129,170,796.613,875.504,-0.7437830796559376,-17.236971780583616
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,20,1707240544603067129,1707240544678192129,75,798.424,837.479,-0.6189008260020872,-14.773579777703864
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,21,1707240544798317129,1707240544943443129,145,796.177,874.396,-0.7729011837660992,-17.165195562101218
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,22,1707240544968443129,1707240545163694129,195,797.04,875.118,-0.7150489501805896,-17.21203842357068
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,23,1707240545208694129,1707240545323820129,115,796.498,823.701,-0.7457730134491867,-13.879455659854868
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,24,1707240545664072129,1707240545744197129,80,798.105,809.038,-0.6378894594623159,-12.927593710624128
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,25,1707240546254700129,1707240546329700129,75,796.144,875.593,-0.775260765700029,-17.242665974688578
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,26,1707240546735077129,1707240546940328129,205,495.578,439.929,-20.50591896936858,10.86245757046282
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,27,1707240547240580129,1707240547565831129,325,775.339,409.901,-2.1479026000899135,13.093455813614446
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,28,1707240547645957129,1707240547881208129,235,807.969,560.963,0.013540966649307618,3.253960804829068
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,29,1707240548036348129,1707240548256460129,220,792.067,516.014,-1.0280430922388177,6.187861132681647
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,30,1707240548291588129,1707240548401716129,110,794.147,493.242,-0.8930962539012105,7.673162388367281
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,31,1707240548531724129,1707240548606837129,75,794.405,487.874,-0.8765498436166994,8.023068485785942
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,32,1707240548656837129,1707240548736962129,80,794.096,503.957,-0.8957891395488574,6.974480511174287
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,33,1707240548902088129,1707240549292465129,390,793.414,498.96,-0.9408191752449618,7.300255253261483
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,34,1707240549307465129,1707240549427591129,120,793.527,497.405,-0.9335463248420153,7.401680008139904
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,35,1707240549547716129,1707240549712842129,165,794.565,493.738,-0.8656189134231153,7.640845543239442
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,36,1707240550038219129,1707240550168345129,130,1008.483,910.401,13.569777585062898,-19.299812547924283
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,37,1707240550198358129,1707240550543596129,345,794.236,770.851,-0.8905329993777347,-10.444515163863528
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,38,1707240550568722129,1707240550743853129,175,626.371,802.787,-11.985892313227648,-12.4089753375864
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,39,1707240550833973129,1707240551174225129,340,726.875,951.885,-5.522700204822508,-22.131366040123833
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,40,1707240551234225129,1707240551489489129,255,787.867,638.1,-1.2996298318083583,-1.7854971033914835
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,41,1707240551524605129,1707240551829853129,305,926.429,839.09,7.907890646369733,-14.826460515532714
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,42,1707240551859853129,1707240551976727129,116,855.397,890.95,3.2132943739882966,-18.227999512912188
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,43,1707240552485481129,1707240552890858129,405,848.313,731.427,2.663730111696847,-7.8745555707688855
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,44,1707240552970859129,1707240553416361129,445,882.803,858.688,5.022688655945649,-16.12712704590327
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,45,1707240553441361129,1707240553661487129,220,803.383,956.361,-0.29171401685872456,-22.460967587908915
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,46,1707240553711613129,1707240553806613129,95,1105.774,602.57,19.398673302042646,0.5240521444534758
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,47,1707240554046872129,1707240554171990129,125,933.824,564.696,8.23515403091809,2.997982116631235
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,48,1707240554206990129,1707240554437241129,230,980.182,591.418,11.24951916055559,1.2548488681412757
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,49,1707240554782618129,1707240554967744129,185,780.535,869.943,-1.8207932080229394,-16.87367681019404
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,50,1707240554997744129,1707240555232995129,235,759.664,814.03,-3.1880965583356704,-13.242907517027314
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,51,1707240555267995129,1707240555438246129,170,670.148,728.678,-9.02111450139016,-7.657139481157688
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,52,1707240555523247129,1707240555738501129,215,790.224,696.198,-1.1481282901854706,-5.579069960980277
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,53,1707240555963624129,1707240556138875129,175,786.598,703.402,-1.3861750971739148,-6.048773540327452
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,54,1707240556334001129,1707240556684377129,350,735.946,765.306,-4.729299563300941,-10.069006514726121
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,55,1707240556754378129,1707240557104755129,350,826.084,782.69,1.2119138725341816,-11.214915906075028
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,56,1707240557144755129,1707240557395006129,250,853.251,603.23,2.9707089535051736,0.49236467718814764
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,57,1707240557430006129,1707240557925509129,495,828.944,445.954,1.3993865587883483,10.75311306937586
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,58,1707240558085634129,1707240558220760129,135,740.26,813.106,-4.473803764047159,-13.17456299048781
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,59,1707240558380886129,1707240558596137129,215,851.983,826.636,2.9432264611366423,-14.064513079701658
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,60,1707240558636137129,1707240558846388129,210,844.881,780.476,2.452659282917189,-11.068209963555061
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,61,1707240558896389129,1707240558991515129,95,976.303,656.085,11.004055395751362,-2.93893089198333
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,62,1707240559056515129,1707240559471891129,415,951.23,655.319,9.369857043698731,-2.8951930909154666
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,63,1707240559497023129,1707240559572017129,74,783.581,756.556,-1.5906432818981981,-9.512805811684785
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,64,1707240559702143129,1707240559842276129,140,997.451,563.213,12.382125778856825,3.0783905260040587
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,65,1707240559922394129,1707240560047519129,125,809.808,399.361,0.13867109009743334,13.78247628440959
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,66,1707240560227645129,1707240560593022129,365,767.138,643.482,-2.653654931248672,-2.1362108658573193
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,67,1707240560638022129,1707240560773148129,135,799.371,650.588,-0.5483830103852076,-2.6014654121433187
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,68,1707240560803148129,1707240560963274129,160,867.581,607.558,3.9063274071044263,0.20967488768564457
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,69,1707240561103400129,1707240561208525129,105,738.002,729.88,-4.5774962829291725,-7.765405677745681
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,70,1707240561248525129,1707240561323651129,75,607.319,722.106,-13.116376155674748,-7.189486297420921
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,71,1707240561338651129,1707240561433776129,95,730.749,765.212,-5.071284746873973,-10.060717806448617
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,72,1707240561458777129,1707240561603902129,145,757.302,786.978,-3.3319620825754246,-11.485454123509372
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,73,1707240561623902129,1707240561724028129,100,732.176,775.701,-4.9835815902366205,-10.742793073113045
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,74,1707240561819153129,1707240561994282129,175,988.696,922.447,12.274029033255399,-20.108645877264863
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,75,1707240562159405129,1707240562274547129,115,889.224,815.154,5.408140089717588,-13.30378194216116
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,76,1707240562294531129,1707240562469781129,175,852.487,812.189,2.9692606359838223,-13.126868390216229
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,77,1707240562549782129,1707240562740035129,190,892.018,541.694,5.5117585437839685,4.504339431438191
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,78,1707240562790033129,1707240563340536129,550,831.13,503.205,1.5334680765317963,7.023308184818239
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,79,1707240563435661129,1707240563505662129,70,777.155,580.337,-1.999384795464776,1.9877677818832795
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,80,1707240563535662129,1707240563635787129,100,731.336,511.954,-5.006564686173638,6.442253965466415
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,81,1707240563740913129,1707240563856038129,115,1014.486,636.712,13.482045544192761,-1.676255156641413
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,82,1707240563996164129,1707240564306416129,310,649.979,594.631,-10.287110390743502,1.0472270285721064
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,83,1707240564356416129,1707240564576679129,220,794.988,472.884,-0.8392256639511587,8.999927129124506
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,84,1707240564631667129,1707240564871918129,240,1026.224,512.184,14.294932109417848,6.359911834599052
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,85,1707240565407421129,1707240566858803129,1451,1038.041,353.942,15.408169726024473,16.506425881371104
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,86,1707240566878803129,1707240567194055129,315,1094.028,422.427,18.900025660150437,12.032353656575216
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,87,1707240567194055129,1707240567359306129,165,1075.103,424.627,17.650772639765655,11.923197050556372
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,88,1707240567374314129,1707240567689558129,315,1079.893,433.114,17.943362789116037,11.373663870954047
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,89,1707240567814683129,1707240567884808129,70,979.02,767.416,11.279361883027004,-10.145341591299317
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,90,1707240567974809129,1707240568170060129,195,979.22,769.74,11.295789077913525,-10.295307693487494
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,91,1707240568210060129,1707240568315185129,105,980.386,771.061,11.37430421518656,-10.379583225524566
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,92,1707240568360186129,1707240568475311129,115,698.627,785.225,-7.202004201691919,-11.34180206084837
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,93,1707240568600437129,1707240568725562129,125,608.57,741.547,-13.058170397260572,-8.444037588300741
6ce02d80-b03c-41d9-8d63-64645c7b2c0b,003aaa32-9a1c-46ce-84c8-ddcc011733e3,94,1707240568810563129,1707240569030814129,220,713.55,565.779,-6.152804372263015,2.931874243812723
