section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,1,1716479124122601133,1716479124247726133,125,680.147,962.668,-8.739472983053515,-22.766108879881102
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,2,1716479124282726133,1716479124447851133,165,693.138,959.517,-7.843285657510862,-22.582656144328062
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,3,1716479124522976133,1716479124633101133,110,681.388,952.014,-8.627948438582461,-22.08378381583044
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,4,1716479124648101133,1716479125103475133,455,675.707,951.455,-9.013978833602177,-22.03928034312752
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,5,1716479125178600133,1716479126159474133,980,709.981,995.429,-6.765662883836703,-24.913039835717214
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,6,1716479126189474133,1716479126424724133,235,702.708,944.501,-7.158295940368167,-21.6295567896628
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,7,1716479126439724133,1716479127200474133,760,698.066,898.161,-7.387608593924332,-18.640550039129714
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,8,1716479127215473133,1716479127715973133,500,699.478,850.28,-7.220332761075387,-15.552393446424762
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,9,1716479127730973133,1716479128536722133,805,676.488,871.695,-8.787950797754014,-16.910019489335223
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,10,1716479128851972133,1716479128967097133,115,694.983,882.186,-7.568062839003489,-17.607340636904283
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,11,1716479129487601133,1716479129872972133,385,702.819,807.492,-6.947558141205115,-12.787462480053225
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,12,1716479129887972133,1716479130608602133,720,727.218,772.451,-5.308173978851722,-10.52943752096288
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,13,1716479130668721133,1716479130893846133,225,739.396,817.956,-4.534510422302022,-13.488610489128295
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,14,1716479130993971133,1716479131364346133,370,829.81,821.362,1.467458244028195,-13.727202017476083
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,15,1716479131399346133,1716479131649596133,250,774.373,835.26,-2.2199652555555365,-14.624940458805074
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,16,1716479131689596133,1716479132084971133,395,701.906,836.107,-7.040519289408274,-14.63847822489256
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,17,1716479132134971133,1716479132405221133,270,851.75,910.263,2.982238571862765,-19.477452778529276
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,18,1716479132415353133,1716479132610470133,195,824.02,889.825,1.099738566033841,-18.16380823605892
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,19,1716479132675470133,1716479132900720133,225,815.492,852.913,0.5201052380742516,-15.774756700749565
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,20,1716479132940720133,1716479133125970133,185,753.035,864.913,-3.659723660149276,-16.537286570980513
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,21,1716479133135970133,1716479133541345133,405,778.687,827.724,-1.9304583645379252,-14.137346478766212
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,22,1716479133601345133,1716479133791595133,190,884.307,771.616,5.049469151320491,-10.480029261429252
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,23,1716479133836595133,1716479134186970133,350,788.514,804.877,-1.2730248291644815,-12.656124525578283
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,24,1716479134772469133,1716479135102844133,330,715.093,907.758,-6.255462238273022,-19.27683646850296
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,25,1716479135257969133,1716479135388094133,130,986.048,660.708,11.640645368644678,-3.235768752694332
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,26,1716479135533219133,1716479135638219133,105,928.935,588.888,7.9111611169148,1.4243926351275225
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,27,1716479135698344133,1716479135898469133,200,711.419,591.792,-6.287936693410623,1.2366543122765405
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,28,1716479135988594133,1716479136238844133,250,667.514,432.973,-9.255761782470524,11.534677423919382
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,29,1716479137119594133,1716479137254719133,135,799.041,527.812,-0.5707219845908691,5.4183395834928225
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,30,1716479137294844133,1716479137509969133,215,774.721,507.872,-2.1656943346810302,6.7172046782541655
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,31,1716479137575094133,1716479137865344133,290,1028.717,528.546,14.440817971940136,5.303641410533018
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,32,1716479138050469133,1716479138185601133,135,715.72,870.153,-6.161913738120567,-16.85067730797717
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,33,1716479138225718133,1716479138550969133,325,695.216,835.741,-7.484519070836308,-14.608963158654722
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,34,1716479138636093133,1716479139051468133,415,859.083,577.926,3.3528682878270564,2.144566423564691
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,35,1716479139927218133,1716479139997343133,70,854.453,568.65,3.0513054566394704,2.750452452681071
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,36,1716479140477718133,1716479140577843133,100,815.88,573.584,0.5303930894142538,2.4295064432290165
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,37,1716479142624718133,1716479142704847133,80,788.773,522.473,-1.2433701147559435,5.76621967475102
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,38,1716479142884968133,1716479143085218133,200,817.801,948.576,0.6940318288990299,-21.958976802956414
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,39,1716479143120218133,1716479143760843133,640,864.527,975.079,3.920564121831632,-23.65096789669663
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,40,1716479143800842133,1716479144101093133,300,785.214,1008.977,-1.5594154913172855,-25.847477946715273
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,41,1716479144141217133,1716479144306342133,165,852.615,980.295,3.105294714968912,-23.993851313746713
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,42,1716479144381342133,1716479144531592133,150,1085.785,1000.4,19.286976100602292,-24.82933025116286
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,43,1716479144596592133,1716479144706717133,110,813.654,970.337,0.4144642841387758,-23.362419282324527
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,44,1716479144716717133,1716479144886842133,170,846.577,990.292,2.697954528872542,-24.640708586312044
