Frame	Time	LH_pinky_fingertip X	LH_pinky_fingertip Y	LH_pinky_fingertip Z	LH_pinky_fingertip Type	LH_pinky_DIP X	LH_pinky_DIP Y	LH_pinky_DIP Z	LH_pinky_DIP Type	LH_pinky_PIP X	LH_pinky_PIP Y	LH_pinky_PIP Z	LH_pinky_PIP Type	LH_pinky_MCP X	LH_pinky_MCP Y	LH_pinky_MCP Z	LH_pinky_MCP Type	LH_ring_fingertip X	LH_ring_fingertip Y	LH_ring_fingertip Z	LH_ring_fingertip Type	LH_ring_DIP X	LH_ring_DIP Y	LH_ring_DIP Z	LH_ring_DIP Type	LH_ring_PIP X	LH_ring_PIP Y	LH_ring_PIP Z	LH_ring_PIP Type	LH_ring_MCP X	LH_ring_MCP Y	LH_ring_MCP Z	LH_ring_MCP Type	LH_middle_fingertip X	LH_middle_fingertip Y	LH_middle_fingertip Z	LH_middle_fingertip Type	LH_middle_DIP X	LH_middle_DIP Y	LH_middle_DIP Z	LH_middle_DIP Type	LH_middle_PIP X	LH_middle_PIP Y	LH_middle_PIP Z	LH_middle_PIP Type	LH_middle_MCP X	LH_middle_MCP Y	LH_middle_MCP Z	LH_middle_MCP Type	LH_index_fingertip X	LH_index_fingertip Y	LH_index_fingertip Z	LH_index_fingertip Type	LH_index_DIP X	LH_index_DIP Y	LH_index_DIP Z	LH_index_DIP Type	LH_index_PIP X	LH_index_PIP Y	LH_index_PIP Z	LH_index_PIP Type	LH_index_MCP X	LH_index_MCP Y	LH_index_MCP Z	LH_index_MCP Type	LH_thumb_fingertip X	LH_thumb_fingertip Y	LH_thumb_fingertip Z	LH_thumb_fingertip Type	LH_thumb_IP2 X	LH_thumb_IP2 Y	LH_thumb_IP2 Z	LH_thumb_IP2 Type	LH_thumb_IP1 X	LH_thumb_IP1 Y	LH_thumb_IP1 Z	LH_thumb_IP1 Type	LH_thumb_MCP2 X	LH_thumb_MCP2 Y	LH_thumb_MCP2 Z	LH_thumb_MCP2 Type	LH_thumb_MCP1 X	LH_thumb_MCP1 Y	LH_thumb_MCP1 Z	LH_thumb_MCP1 Type	LH_thumb_base X	LH_thumb_base Y	LH_thumb_base Z	LH_thumb_base Type	LH_wrist2 X	LH_wrist2 Y	LH_wrist2 Z	LH_wrist2 Type	LH_wrist1 X	LH_wrist1 Y	LH_wrist1 Z	LH_wrist1 Type	RH_thumb_fingertip X	RH_thumb_fingertip Y	RH_thumb_fingertip Z	RH_thumb_fingertip Type	RH_thumb_IP1 X	RH_thumb_IP1 Y	RH_thumb_IP1 Z	RH_thumb_IP1 Type	RH_thumb_IP2 X	RH_thumb_IP2 Y	RH_thumb_IP2 Z	RH_thumb_IP2 Type	RH_thumb_MCP1 X	RH_thumb_MCP1 Y	RH_thumb_MCP1 Z	RH_thumb_MCP1 Type	RH_thumb_MCP2 X	RH_thumb_MCP2 Y	RH_thumb_MCP2 Z	RH_thumb_MCP2 Type	RH_thumb_base X	RH_thumb_base Y	RH_thumb_base Z	RH_thumb_base Type	RH_wrist2 X	RH_wrist2 Y	RH_wrist2 Z	RH_wrist2 Type	RH_wrist1 X	RH_wrist1 Y	RH_wrist1 Z	RH_wrist1 Type	RH_index_fingertip X	RH_index_fingertip Y	RH_index_fingertip Z	RH_index_fingertip Type	RH_index_DIP X	RH_index_DIP Y	RH_index_DIP Z	RH_index_DIP Type	RH_index_PIP X	RH_index_PIP Y	RH_index_PIP Z	RH_index_PIP Type	RH_index_MCP X	RH_index_MCP Y	RH_index_MCP Z	RH_index_MCP Type	RH_middle_fingertip X	RH_middle_fingertip Y	RH_middle_fingertip Z	RH_middle_fingertip Type	RH_middle_DIP X	RH_middle_DIP Y	RH_middle_DIP Z	RH_middle_DIP Type	RH_middle_PIP X	RH_middle_PIP Y	RH_middle_PIP Z	RH_middle_PIP Type	RH_middle_MCP X	RH_middle_MCP Y	RH_middle_MCP Z	RH_middle_MCP Type	RH_ring_fingertip X	RH_ring_fingertip Y	RH_ring_fingertip Z	RH_ring_fingertip Type	RH_ring_DIP X	RH_ring_DIP Y	RH_ring_DIP Z	RH_ring_DIP Type	RH_ring_PIP X	RH_ring_PIP Y	RH_ring_PIP Z	RH_ring_PIP Type	RH_ring_MCP X	RH_ring_MCP Y	RH_ring_MCP Z	RH_ring_MCP Type	RH_pinky_fingertip X	RH_pinky_fingertip Y	RH_pinky_fingertip Z	RH_pinky_fingertip Type	RH_pinky_DIP X	RH_pinky_DIP Y	RH_pinky_DIP Z	RH_pinky_DIP Type	RH_pinky_PIP X	RH_pinky_PIP Y	RH_pinky_PIP Z	RH_pinky_PIP Type	RH_pinky_MCP X	RH_pinky_MCP Y	RH_pinky_MCP Z	RH_pinky_MCP Type
1	0	1300.625	-57.818	275.652	Measured	1279.357	-51.164	282.799	Measured	1256.333	-48.567	285.09	Measured	1212.083	-52.572	289.014	Measured	1322.419	-73.056	294.183	Measured	1265.801	-70.034	296.648	Measured	1298.726	-72.917	299.11	Measured	1211.859	-70.924	300.564	Measured	1328.055	-107.026	299.082	Measured	1307.364	-107.858	303.709	Measured	1273.54	-100.824	303.621	Measured	1214.263	-90.645	305.287	Measured	1309.905	-146.636	302.47	Measured	1289.015	-140.754	304.832	Measured	1261.023	-132.726	306.381	Measured	1209.196	-113.528	303.431	Measured	1216.546	-196.457	278.736	Measured	1203.77	-170.615	279.421	Measured	1196.276	-186.767	263.386	Measured	1179.113	-156.133	274.789	Measured	1167.919	-159.703	249.897	Measured	1142.315	-128.546	258.563	Measured	1117.42	-57.876	283.612	Measured	1122.211	-78.402	286.85	Measured	1207.481	-463.206	263.976	Measured	1187.834	-478.598	252.775	Measured	1198.083	-492.151	271.556	Measured	1161.007	-505.994	246.02	Measured	1171.705	-515.155	269.258	Measured	1132.44	-535.97	254.726	Measured	1103.161	-599.549	281.874	Measured	1110.986	-578.988	283.318	Measured	1298.459	-530.078	302.12	Measured	1278.774	-537.1	302.142	Measured	1254.347	-544.389	300.431	Measured	1201.831	-557.467	296.346	Measured	1318.199	-570.363	295.294	Measured	1299.441	-574.598	296.491	Measured	1265.071	-576.484	294.318	Measured	1208.526	-581.885	293.912	Measured	1308.049	-614.237	281.223	Measured	1288.156	-615.049	282.839	Measured	1253.254	-608.012	282.434	Measured	1205.966	-603.156	286.244	Measured	1282.035	-642.12	263.653	Measured	1259.515	-644.171	266.321	Measured	1233.15	-634.155	268.533	Measured	1209.517	-615.568	276.169	Measured
2	0.00556	1300.413	-57.854	274.705	Measured	1279.121	-51.254	281.807	Measured	1256.11	-48.648	284.141	Measured	1211.871	-52.652	288.099	Measured	1322.235	-73.121	293.186	Measured	1265.61	-70.121	295.728	Measured	1298.536	-72.959	298.085	Measured	1211.653	-71.017	299.596	Measured	1327.881	-107.087	297.992	Measured	1307.207	-107.89	302.676	Measured	1273.361	-100.892	302.579	Measured	1214.072	-90.707	304.324	Measured	1309.751	-146.683	301.612	Measured	1288.888	-140.96	304.104	Measured	1260.852	-132.801	305.386	Measured	1209.004	-113.593	302.505	Measured	1216.364	-196.56	277.835	Measured	1203.574	-170.723	278.509	Measured	1196.092	-186.873	262.533	Measured	1178.917	-156.231	273.917	Measured	1167.703	-159.82	249.026	Measured	1142.116	-128.666	257.712	Measured	1117.226	-57.962	282.716	Measured	1122.016	-78.493	285.938	Measured	1207.432	-463.109	263.175	Measured	1187.783	-478.592	251.922	Measured	1198.064	-492.055	270.744	Measured	1160.981	-505.871	245.301	Measured	1171.639	-515.112	268.477	Measured	1132.386	-535.862	253.908	Measured	1103.074	-599.441	281.077	Measured	1110.909	-578.841	282.468	Measured	1298.404	-530.025	301.334	Measured	1278.721	-537.063	301.352	Measured	1254.298	-544.357	299.596	Measured	1201.745	-557.426	295.512	Measured	1318.117	-570.393	294.461	Measured	1299.364	-574.639	295.685	Measured	1264.988	-576.467	293.491	Measured	1208.452	-581.838	293.104	Measured	1307.945	-614.267	280.418	Measured	1288.067	-615.068	281.998	Measured	1253.162	-608.016	281.6	Measured	1205.834	-603.165	285.364	Measured	1281.907	-642.135	262.869	Measured	1259.394	-644.148	265.524	Measured	1233.023	-634.156	267.678	Measured	1209.39	-615.542	275.35	Measured
3	0.01111	1300.22	-57.896	273.758	Measured	1278.978	-51.276	281.194	Measured	1255.898	-48.983	283.813	Measured	1211.687	-52.721	287.133	Measured	1322.06	-73.17	292.148	Measured	1265.386	-70.05	295.05	Measured	1298.373	-73.042	297.067	Measured	1211.488	-71.064	298.592	Measured	1327.731	-107.151	296.866	Measured	1307.073	-107.959	301.562	Measured	1273.218	-100.942	301.597	Measured	1213.909	-90.765	303.391	Measured	1309.6	-146.719	300.589	Measured	1288.772	-140.989	303.075	Measured	1260.716	-132.843	304.453	Measured	1208.833	-113.656	301.597	Measured	1216.191	-196.64	276.977	Measured	1203.407	-170.818	277.641	Measured	1195.903	-186.974	261.65	Measured	1178.733	-156.31	273.037	Measured	1167.513	-159.908	248.143	Measured	1141.917	-128.774	256.852	Measured	1117.041	-58.062	281.808	Measured	1121.83	-78.58	285.069	Measured	1207.829	-463.044	262.73	Measured	1187.736	-478.522	251.097	Measured	1198.623	-491.925	270.425	Measured	1160.962	-505.76	244.537	Measured	1171.607	-515.051	267.67	Measured	1132.328	-535.767	253.136	Measured	1102.973	-599.347	280.297	Measured	1110.825	-578.769	281.713	Measured	1298.364	-530.02	300.431	Measured	1278.688	-537.029	300.474	Measured	1254.242	-544.314	298.79	Measured	1201.683	-557.371	294.747	Measured	1318.069	-570.416	293.61	Measured	1299.319	-574.658	294.832	Measured	1264.942	-576.475	292.669	Measured	1208.315	-581.895	292.202	Measured	1307.868	-614.261	279.58	Measured	1287.972	-615.069	281.176	Measured	1253.097	-608.008	280.771	Measured	1205.781	-603.091	284.622	Measured	1281.782	-642.169	262.114	Measured	1259.252	-644.152	264.688	Measured	1232.921	-634.104	266.917	Measured	1209.012	-615.818	275.073	Measured
4	0.01667	1300.254	-58.274	271.459	Measured	1278.642	-51.78	279.65	Measured	1255.509	-48.845	282.385	Measured	1211.514	-52.836	286.169	Measured	1321.889	-73.297	291.099	Measured	1265.181	-70.364	293.828	Measured	1298.153	-73.184	296.103	Measured	1211.974	-71.774	297	Measured	1327.644	-107.363	295.704	Measured	1306.923	-108.078	300.419	Measured	1273.02	-101.122	300.61	Measured	1213.796	-91.082	301.459	Measured	1309.471	-146.771	299.554	Measured	1288.624	-140.921	302.017	Measured	1260.513	-132.932	303.565	Measured	1208.684	-113.777	300.759	Measured	1216.009	-196.745	276.081	Measured	1203.268	-170.954	276.645	Measured	1195.775	-187	260.27	Measured	1178.472	-156.401	271.898	Measured	1167.308	-160.033	247.276	Measured	1141.829	-128.817	255.923	Measured	1117.004	-58.346	280.567	Measured	1121.675	-78.663	284.184	Measured	1207.87	-462.951	261.936	Measured	1187.669	-478.802	249.919	Measured	1198.035	-491.91	269.13	Measured	1160.941	-505.605	243.732	Measured	1171.618	-514.893	266.997	Measured	1132.273	-535.666	252.318	Measured	1102.924	-599.209	279.464	Measured	1110.299	-578.684	281.104	Measured	1298.34	-529.931	299.555	Measured	1278.677	-536.935	299.596	Measured	1254.127	-544.19	297.763	Measured	1201.884	-557.391	293.884	Measured	1318.032	-570.359	292.649	Measured	1299.267	-574.619	293.913	Measured	1264.906	-576.434	291.774	Measured	1208.297	-581.787	291.467	Measured	1307.528	-614.428	277.846	Measured	1287.903	-615.028	280.262	Measured	1253.025	-607.94	279.886	Measured	1205.695	-603.042	283.691	Measured	1281.67	-642.144	261.167	Measured	1259.142	-644.096	263.859	Measured	1232.876	-634.027	265.847	Measured	1208.661	-615.877	273.843	Measured
5	0.02222	1300.257	-58.225	270.254	Measured	1278.524	-51.429	278.642	Measured	1255.324	-48.448	281.651	Measured	1211.369	-52.486	284.994	Measured	1321.825	-72.888	290.097	Measured	1265.004	-69.994	292.846	Measured	1298.029	-73.089	295.424	Measured	1211.936	-71.593	295.79	Measured	1327.621	-107.221	294.502	Measured	1306.895	-107.978	299.225	Measured	1272.911	-101.043	299.35	Measured	1213.724	-90.904	300.245	Measured	1309.407	-146.698	298.44	Measured	1288.541	-140.897	300.944	Measured	1260.428	-132.924	302.44	Measured	1208.636	-113.651	299.507	Measured	1215.962	-196.87	274.934	Measured	1203.318	-171.059	275.61	Measured	1195.765	-187.042	259.239	Measured	1178.373	-156.358	270.828	Measured	1166.997	-160.293	246.155	Measured	1141.755	-128.669	254.617	Measured	1116.815	-58.014	279.435	Measured	1121.523	-78.405	283.097	Measured	1207.891	-462.952	261.07	Measured	1187.68	-478.812	249.034	Measured	1198.046	-491.908	268.18	Measured	1161.014	-505.301	242.835	Measured	1171.635	-514.917	266.21	Measured	1132.225	-535.522	251.473	Measured	1102.616	-599.222	278.895	Measured	1110.159	-578.671	280.369	Measured	1298.491	-530.104	298.709	Measured	1278.782	-537.124	298.782	Measured	1254.158	-544.319	296.868	Measured	1201.88	-557.584	292.753	Measured	1318.192	-570.701	291.918	Measured	1299.41	-574.885	293.385	Measured	1264.961	-576.667	290.887	Measured	1208.302	-581.99	290.637	Measured	1307.575	-614.822	276.991	Measured	1287.917	-615.391	279.445	Measured	1253.029	-608.215	279.069	Measured	1205.689	-603.285	283.056	Measured	1281.677	-642.535	260.504	Measured	1259.066	-644.491	263.096	Measured	1232.791	-634.251	265.067	Measured	1208.508	-616.223	273.297	Measured
6	0.02778	1300.022	-58.415	270.296	Measured	1278.366	-51.383	277.626	Measured	1255.343	-48.54	280.203	Measured	1211.374	-52.568	284.384	Measured	1321.719	-73.011	288.748	Measured	1265.049	-70.226	291.638	Measured	1298.035	-72.958	293.747	Measured	1211.932	-71.666	295.161	Measured	1327.534	-107.217	293.367	Measured	1306.825	-107.956	298.182	Measured	1272.871	-101.04	298.625	Measured	1213.676	-90.99	299.564	Measured	1309.313	-146.768	297.406	Measured	1288.465	-140.947	299.946	Measured	1260.362	-132.957	301.748	Measured	1208.614	-113.791	298.926	Measured	1215.9	-196.959	274.357	Measured	1203.175	-171.193	274.835	Measured	1195.613	-187.161	258.511	Measured	1178.338	-156.493	270.309	Measured	1167.113	-160.283	245.902	Measured	1141.532	-129.201	254.324	Measured	1116.729	-58.064	278.748	Measured	1121.464	-78.486	282.51	Measured	1207.87	-462.891	260.251	Measured	1187.593	-478.707	248.279	Measured	1198.037	-491.856	267.381	Measured	1160.964	-505.171	242.007	Measured	1171.613	-514.884	265.266	Measured	1132.225	-535.429	250.663	Measured	1102.766	-599.252	277.612	Measured	1110.157	-578.624	279.484	Measured	1298.416	-530.17	297.576	Measured	1278.739	-537.166	297.73	Measured	1254.18	-544.332	295.985	Measured	1202.03	-557.545	292.187	Measured	1318.107	-570.834	290.663	Measured	1299.33	-575.124	291.704	Measured	1264.971	-576.726	289.987	Measured	1208.255	-581.955	289.778	Measured	1307.537	-614.974	276.093	Measured	1287.886	-615.489	278.512	Measured	1253.004	-608.249	278.159	Measured	1205.656	-603.24	282.192	Measured	1281.573	-642.677	259.628	Measured	1259.016	-644.569	262.269	Measured	1232.743	-634.287	264.19	Measured	1208.482	-616.136	272.385	Measured
7	0.03333	1300.024	-58.241	268.419	Measured	1278.197	-51.391	276.665	Measured	1255.214	-48.6	279.217	Measured	1211.258	-52.629	283.371	Measured	1321.637	-73.057	287.627	Measured	1264.985	-70.313	290.582	Measured	1297.933	-73.014	292.642	Measured	1211.856	-71.721	294.147	Measured	1327.464	-107.318	292.257	Measured	1306.756	-108.054	297.035	Measured	1272.793	-101.082	297.614	Measured	1213.581	-91.029	298.596	Measured	1309.191	-146.836	296.402	Measured	1288.392	-140.998	298.958	Measured	1260.265	-133.021	300.796	Measured	1208.537	-113.83	298.049	Measured	1215.813	-197.086	273.519	Measured	1203.078	-171.324	273.985	Measured	1195.474	-187.306	257.657	Measured	1178.22	-156.605	269.491	Measured	1166.994	-160.434	245.122	Measured	1141.509	-129.109	253.213	Measured	1116.704	-58.169	277.987	Measured	1121.38	-78.542	281.637	Measured	1207.861	-462.83	259.498	Measured	1187.566	-478.669	247.487	Measured	1198.01	-491.834	266.566	Measured	1160.957	-505.077	241.236	Measured	1171.608	-514.872	264.393	Measured	1132.203	-535.341	249.889	Measured	1102.721	-599.24	276.752	Measured	1110.135	-578.563	278.67	Measured	1298.458	-530.181	296.608	Measured	1278.771	-537.179	296.773	Measured	1254.187	-544.318	295.105	Measured	1202.023	-557.53	291.388	Measured	1318.135	-570.916	289.65	Measured	1299.382	-575.206	290.62	Measured	1264.98	-576.737	289.074	Measured	1208.297	-581.946	288.919	Measured	1307.533	-615.051	275.072	Measured	1287.876	-615.546	277.589	Measured	1252.956	-608.323	277.209	Measured	1205.604	-603.232	281.241	Measured	1281.523	-642.752	258.754	Measured	1258.943	-644.615	261.418	Measured	1232.659	-634.311	263.272	Measured	1208.428	-616.134	271.431	Measured
8	0.03889	1299.917	-58.222	267.6	Measured	1278.071	-51.43	275.742	Measured	1255.046	-48.695	278.189	Measured	1211.17	-52.691	282.431	Measured	1321.549	-73.155	286.548	Measured	1264.894	-70.394	289.549	Measured	1297.887	-73.099	291.612	Measured	1211.795	-71.77	293.217	Measured	1327.366	-107.435	291.126	Measured	1306.661	-108.127	296.026	Measured	1272.739	-101.196	296.595	Measured	1213.538	-91.088	297.661	Measured	1309.136	-146.917	295.45	Measured	1288.297	-141.111	297.985	Measured	1260.192	-133.075	299.863	Measured	1208.459	-113.917	297.145	Measured	1215.673	-197.208	272.71	Measured	1202.971	-171.441	273.121	Measured	1195.387	-187.402	256.853	Measured	1178.138	-156.721	268.699	Measured	1166.856	-160.565	244.385	Measured	1141.379	-129.262	252.402	Measured	1116.599	-58.218	277.153	Measured	1121.278	-78.603	280.823	Measured	1207.874	-462.763	258.754	Measured	1187.538	-478.584	246.759	Measured	1198.025	-491.774	265.823	Measured	1160.946	-504.981	240.464	Measured	1171.604	-514.802	263.66	Measured	1132.21	-535.227	249.095	Measured	1102.757	-599.17	275.915	Measured	1110.139	-578.484	277.929	Measured	1298.508	-530.229	295.661	Measured	1278.818	-537.203	295.863	Measured	1254.205	-544.345	294.208	Measured	1202.025	-557.524	290.448	Measured	1318.149	-570.946	288.6	Measured	1299.412	-575.228	289.653	Measured	1264.974	-576.764	288.133	Measured	1208.269	-581.922	287.996	Measured	1307.532	-615.094	274.109	Measured	1287.881	-615.609	276.626	Measured	1252.95	-608.265	276.341	Measured	1205.619	-603.196	280.411	Measured	1281.464	-642.799	257.841	Measured	1258.884	-644.681	260.469	Measured	1232.596	-634.337	262.394	Measured	1208.417	-616.087	270.584	Measured
9	0.04444	1299.813	-58.213	266.811	Measured	1277.889	-51.417	274.895	Measured	1254.939	-48.743	277.265	Measured	1211.093	-52.759	281.442	Measured	1321.445	-73.304	285.511	Measured	1264.815	-70.463	288.561	Measured	1297.774	-73.18	290.569	Measured	1211.705	-71.821	292.319	Measured	1327.274	-107.509	290.107	Measured	1306.577	-108.211	295.05	Measured	1272.736	-101.333	295.773	Measured	1213.454	-91.151	296.75	Measured	1309.077	-147.009	294.458	Measured	1288.212	-141.193	297.048	Measured	1260.101	-133.194	298.954	Measured	1208.392	-113.929	296.221	Measured	1215.612	-197.306	271.903	Measured	1202.886	-171.563	272.275	Measured	1195.257	-187.52	255.979	Measured	1178.02	-156.85	267.896	Measured	1166.712	-160.71	243.59	Measured	1141.099	-129.334	251.53	Measured	1116.465	-58.329	276.274	Measured	1121.191	-78.718	279.974	Measured	1207.849	-462.721	258.035	Measured	1187.515	-478.535	246.02	Measured	1198.023	-491.709	265.065	Measured	1160.923	-504.883	239.746	Measured	1171.581	-514.77	262.867	Measured	1132.206	-535.127	248.357	Measured	1102.751	-599.089	275.146	Measured	1110.148	-578.393	277.113	Measured	1298.561	-530.204	294.736	Measured	1278.864	-537.163	294.953	Measured	1254.263	-544.33	293.379	Measured	1202.045	-557.487	289.706	Measured	1318.195	-570.98	287.599	Measured	1299.454	-575.293	288.62	Measured	1265.007	-576.769	287.218	Measured	1208.317	-581.914	287.184	Measured	1307.545	-615.101	273.153	Measured	1287.879	-615.612	275.658	Measured	1252.942	-608.332	275.354	Measured	1205.605	-603.146	279.476	Measured	1281.416	-642.828	256.944	Measured	1258.814	-644.679	259.58	Measured	1232.559	-634.317	261.485	Measured	1208.366	-616.084	269.645	Measured
10	0.05	1299.44	-57.26	267.358	Measured	1277.729	-51.431	274.004	Measured	1254.806	-48.838	276.246	Measured	1210.991	-52.831	280.577	Measured	1321.386	-73.379	284.493	Measured	1264.736	-70.597	287.563	Measured	1297.708	-73.23	289.605	Measured	1211.649	-71.909	291.388	Measured	1327.185	-107.596	289.138	Measured	1306.505	-108.294	294.031	Measured	1272.63	-101.441	294.786	Measured	1213.386	-91.226	295.874	Measured	1309.023	-147.088	293.474	Measured	1288.181	-141.24	296.131	Measured	1260.046	-133.202	298.08	Measured	1208.332	-114.026	295.384	Measured	1215.496	-197.414	271.108	Measured	1202.805	-171.643	271.472	Measured	1195.197	-187.623	255.286	Measured	1177.92	-156.957	267.12	Measured	1166.591	-160.812	242.864	Measured	1141.005	-129.463	250.754	Measured	1116.402	-58.391	275.457	Measured	1121.085	-78.778	279.164	Measured	1207.856	-462.624	257.342	Measured	1187.537	-478.394	245.323	Measured	1198.034	-491.619	264.343	Measured	1160.925	-504.782	238.987	Measured	1171.609	-514.65	262.127	Measured	1132.218	-535.027	247.595	Measured	1102.748	-598.995	274.299	Measured	1110.162	-578.311	276.362	Measured	1298.576	-530.208	293.826	Measured	1278.893	-537.177	294.068	Measured	1254.305	-544.311	292.504	Measured	1202.05	-557.464	288.785	Measured	1318.251	-570.989	286.642	Measured	1299.489	-575.302	287.621	Measured	1265.055	-576.742	286.308	Measured	1208.311	-581.895	286.263	Measured	1307.544	-615.088	272.144	Measured	1287.895	-615.605	274.728	Measured	1252.96	-608.261	274.476	Measured	1205.615	-603.111	278.646	Measured	1281.376	-642.839	256.078	Measured	1258.757	-644.648	258.675	Measured	1232.527	-634.246	260.6	Measured	1208.395	-616.048	268.828	Measured
