 Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Measured,Mixed,Mixed,Mixed,Mixed,Mixed
Frame,Time, X, Y, Z, Type, X, Y, Z, Type, X, Y, Z, Type
1,0,-1096.202,-397.725,-147.704,Measured,-1006.706,575.212,-83.76,Measured,-1013.74,520.245,-40.367,Measured
2,0.01,-1096.202,-397.725,-147.704,Measured,-1006.706,575.219,-83.781,Measured,-1013.739,520.241,-40.392,Measured
3,0.02,-1096.202,-397.725,-147.704,Measured,-1006.72,575.239,-83.787,Measured,-1013.756,520.262,-40.407,Measured
4,0.03,-1095.06,-395.485,-146.803,Gap-filled,-1007.633,568.109,-91.528,Measured,-1013.397,518.785,-39.541,Measured
5,0.04,-1093.102,-391.645,-145.258,Gap-filled,-1009.86,574.02,-85.548,Measured,-1013.787,520.626,-40.632,Measured
6,0.05,-1090.652,-386.843,-143.324,Gap-filled,-1007.172,577.405,-82.665,Measured,-1013.534,518.409,-39.755,Measured
7,0.06,-1088.036,-381.719,-141.257,Gap-filled,-1015.738,575.35,-82.423,Measured,-1013.486,518.283,-39.868,Measured
8,0.07,-1085.58,-376.912,-139.314,Gap-filled,-1007.26,577.418,-82.673,Measured,-1013.035,518.602,-38.843,Measured
9,0.08,-1083.608,-373.061,-137.749,Gap-filled,-1010.02,574.352,-85.352,Measured,-1013.061,518.635,-38.842,Measured
10,0.09,-1082.446,-370.805,-136.819,Measured,-1008.014,568.933,-90.959,Measured,-1013.756,520.188,-40.512,Measured
11,0.1,-1082.42,-370.784,-136.781,Measured,-1006.273,570.363,-89.191,Gap-filled,-1013.786,520.187,-40.513,Measured
12,0.11,-1084.044,-370.698,-137.317,Measured,-1006.744,575.35,-83.891,Measured,-1013.408,518.709,-39.625,Measured
13,0.12,-1083.547,-370.717,-137.124,Measured,-1011.37,580.6,-78.9,Measured,-1013.514,518.392,-39.754,Measured
14,0.13,-1082.506,-370.746,-136.842,Measured,-1006.841,575.457,-83.87,Measured,-1013.763,520.174,-40.508,Measured
15,0.14,-1083.558,-370.709,-137.26,Measured,-1007.45,568.416,-91.331,Measured,-1013.745,520.147,-40.56,Measured
16,0.15,-1083.529,-370.718,-137.188,Measured,-1011.908,574.361,-83.784,Measured,-1013.744,520.176,-40.544,Measured
17,0.16,-1083.539,-370.73,-137.135,Measured,-1010.048,551.021,-87.757,Measured,-1013.778,520.162,-40.419,Measured
18,0.17,-1105.577,-373.957,-151.553,Measured,-1011.511,545.898,-87.099,Gap-filled,-1013.754,520.212,-40.534,Measured
19,0.18,-1108.119,-374.376,-153.331,Measured,-1013.621,548.432,-85.125,Measured,-1013.744,520.204,-40.557,Measured
20,0.19,-1108.332,-374.319,-153.16,Measured,-1013.704,548.066,-85.149,Measured,-1013.687,520.069,-40.41,Measured
21,0.2,-1108.587,-374.442,-153.84,Measured,-1013.354,550.515,-84.646,Gap-filled,-1013.682,520.136,-40.339,Measured
22,0.21,-1106.425,-374.17,-152.702,Gap-filled,-1012.653,547.937,-85.353,Measured,-1013.746,520.24,-40.569,Measured
23,0.22,-1102.338,-373.584,-150.108,Gap-filled,-1011.683,532.487,-89.005,Measured,-1013.063,518.596,-39.032,Measured
24,0.23,-1096.819,-372.762,-146.419,Gap-filled,-1012.017,534.259,-89.829,Measured,-1013.024,518.543,-39.011,Measured
25,0.24,-1090.36,-371.782,-141.996,Gap-filled,-1012.099,529.033,-89.375,Measured,-1013.769,520.104,-40.673,Measured
26,0.25,-1083.454,-370.726,-137.199,Measured,-1022.746,513.113,-91.128,Measured,-1013.84,520.321,-40.87,Measured
27,0.26,-1078.89,-370.036,-134.059,Gap-filled,-1011.98,511.434,-88.511,Measured,-1013.426,518.59,-39.889,Measured
28,0.27,-1076.299,-369.656,-132.312,Gap-filled,-1003.089,497.202,-92.578,Measured,-1013.793,519.996,-40.82,Measured
29,0.28,-1075.314,-369.527,-131.691,Gap-filled,-998.224,504.167,-90.204,Measured,-1013.803,520.031,-40.867,Measured
30,0.29,-1075.565,-369.591,-131.931,Gap-filled,-996.291,511.13,-82.693,Measured,-1013.81,520.088,-40.912,Measured
31,0.3,-1076.684,-369.79,-132.767,Gap-filled,-997.853,513.082,-80.821,Measured,-1013.786,520.19,-40.944,Measured
32,0.31,-1078.303,-370.067,-133.933,Gap-filled,-1001.986,501.683,-80.641,Measured,-1013.742,520.001,-40.884,Measured
33,0.32,-1080.052,-370.363,-135.165,Gap-filled,-995.879,513.317,-74.633,Measured,-1013.462,518.543,-40.247,Measured
34,0.33,-1081.565,-370.619,-136.196,Gap-filled,-995.762,513.557,-74.422,Measured,-1013.865,520.249,-41.343,Measured
35,0.34,-1082.471,-370.779,-136.762,Measured,-995.749,513.653,-74.357,Measured,-1013.796,520.084,-41.264,Measured
36,0.35,-1082.403,-370.784,-136.597,Measured,-995.856,513.285,-74.37,Measured,-1013.807,520.08,-41.334,Measured
37,0.36,-1083.323,-370.751,-136.997,Measured,-1006.979,498.198,-80.065,Measured,-1013.808,520.045,-41.405,Measured
38,0.37,-1083.543,-370.714,-137.225,Measured,-1013.44,490.993,-90.128,Measured,-1013.82,520.36,-41.604,Measured
39,0.38,-1082.505,-370.78,-136.887,Measured,-1013.885,491.042,-89.731,Measured,-1013.803,520.12,-41.425,Measured
40,0.39,-1083.566,-370.723,-137.209,Measured,-1016.707,502.48,-94.198,Measured,-1013.814,520.127,-41.441,Measured
41,0.4,-1082.479,-370.758,-136.847,Measured,-1013.658,499.222,-88.998,Measured,-1013.869,519.631,-41.728,Measured
42,0.41,-1083.472,-370.718,-136.984,Measured,-1013.656,499.228,-89.009,Measured,-1013.865,520.033,-41.379,Measured
43,0.42,-1083.557,-370.701,-137.107,Measured,-1013.666,499.262,-89.016,Measured,-1013.95,520.17,-41.633,Measured
44,0.43,-1083.64,-370.704,-137.291,Measured,-1013.667,499.261,-89.005,Measured,-1013.892,520.291,-41.599,Measured
45,0.44,-1082.47,-370.785,-136.842,Measured,-1013.706,499.368,-88.721,Measured,-1013.572,519.593,-40.831,Measured
46,0.45,-1082.504,-370.736,-136.865,Measured,-1013.644,500.902,-88.712,Measured,-1013.881,520.222,-41.611,Measured
47,0.46,-1082.443,-370.775,-136.71,Measured,-1013.679,499.385,-88.956,Measured,-1013.84,520.357,-41.631,Measured
48,0.47,-1082.451,-370.789,-136.659,Measured,-1013.674,500.288,-88.664,Measured,-1013.888,520.294,-41.567,Measured
49,0.48,-1083.55,-370.712,-137.116,Measured,-1013.662,499.274,-89.157,Measured,-1013.898,520.267,-41.562,Measured
50,0.49,-1082.434,-370.78,-136.82,Measured,-1013.736,499.059,-88.725,Measured,-1013.759,520.002,-41.344,Measured
51,0.5,-1082.82,-370.759,-136.963,Gap-filled,-1013.65,499.344,-89.153,Measured,-1013.714,519.957,-41.313,Measured
52,0.51,-1083.553,-370.726,-137.172,Measured,-1013.68,499.282,-88.978,Measured,-1013.722,520.011,-41.19,Measured
53,0.52,-1083.481,-370.756,-137.071,Measured,-1013.644,499.304,-89.168,Measured,-1013.736,520.002,-41.195,Measured
54,0.53,-1082.421,-370.778,-136.703,Measured,-1013.6,501.516,-88.673,Measured,-1013.816,520.046,-41.437,Measured
55,0.54,-1082.399,-370.785,-136.772,Measured,-1013.646,499.322,-88.965,Measured,-1013.707,519.929,-41.361,Measured
56,0.55,-1082.482,-370.767,-136.824,Measured,-1015.687,501.473,-90.881,Measured,-1013.696,519.981,-41.238,Measured
57,0.56,-1082.503,-370.76,-136.751,Measured,-1013.675,499.37,-88.776,Measured,-1013.655,520.077,-41.073,Measured
58,0.57,-1084.086,-370.685,-137.427,Measured,-1015.813,501.502,-89.556,Gap-filled,-1013.667,520.042,-41.106,Measured
59,0.58,-1082.418,-370.768,-136.727,Measured,-1017.372,503.053,-90.522,Measured,-1013.714,519.958,-41.223,Measured
60,0.59,-1082.482,-370.766,-136.823,Measured,-1013.623,499.206,-88.976,Measured,-1013.774,520.018,-41.384,Measured
61,0.6,-1083.574,-370.76,-137.296,Measured,-1013.668,498.789,-88.785,Measured,-1013.702,519.975,-41.173,Measured
62,0.61,-1083.6,-370.718,-137.254,Measured,-1013.578,499.273,-89.131,Measured,-1013.533,519.618,-40.742,Measured
63,0.62,-1083.351,-370.725,-137.011,Measured,-1018.296,492.493,-96.95,Measured,-1013.549,519.641,-40.811,Measured
64,0.63,-1084.022,-370.687,-137.33,Measured,-1021.709,493.062,-100.632,Gap-filled,-1013.752,520.044,-41.365,Measured
65,0.64,-1083.489,-370.728,-137.076,Measured,-1024.174,497.054,-102.038,Measured,-1013.704,520.024,-41.198,Measured
66,0.65,-1100.236,-360.874,-156.802,Measured,-1026.339,498.994,-103.983,Gap-filled,-1013.649,520.111,-41.08,Measured
67,0.66,-1108.32,-374.354,-153.584,Measured,-1027.687,499.606,-105.468,Measured,-1013.748,519.908,-41.215,Measured
68,0.67,0,0,0,,-1027.699,499.609,-105.494,Measured,-1013.778,519.989,-41.372,Measured
69,0.68,0,0,0,,-1027.887,499.706,-105.657,Measured,-1013.757,519.951,-41.235,Measured
70,0.69,0,0,0,,-1025.771,498.184,-104.067,Gap-filled,-1013.72,520.037,-41.192,Measured
71,0.7,0,0,0,,-1021.926,495.45,-101.16,Gap-filled,-1013.789,520.076,-41.387,Measured
72,0.71,0,0,0,,-1016.926,491.908,-97.372,Gap-filled,-1013.727,519.949,-41.241,Measured
73,0.72,0,0,0,,-1011.345,487.964,-93.142,Gap-filled,-1013.692,519.946,-41.3,Measured
74,0.73,0,0,0,,-1005.759,484.023,-88.904,Gap-filled,-1013.724,520.015,-41.278,Measured
75,0.74,0,0,0,,-1000.743,480.49,-85.097,Gap-filled,-1013.706,520.047,-41.269,Measured
76,0.75,0,0,0,,-996.87,477.771,-82.157,Gap-filled,-1013.712,519.999,-41.336,Measured
77,0.76,0,0,0,,-994.715,476.271,-80.521,Measured,-1013.67,519.952,-41.417,Measured
78,0.77,0,0,0,,-994.854,476.395,-80.625,Measured,-1013.404,518.542,-40.565,Measured
79,0.78,0,0,0,,-994.831,476.433,-80.586,Measured,-1013.606,520.123,-41.289,Measured
80,0.79,0,0,0,,-994.748,476.266,-80.537,Measured,-1013.597,520.104,-41.433,Measured
81,0.8,0,0,0,,-994.707,476.111,-80.557,Measured,-1013.66,520.041,-41.504,Measured
82,0.81,0,0,0,,-995.224,477.203,-81.354,Measured,-1013.724,520.071,-41.41,Measured
83,0.82,0,0,0,,-994.696,478.893,-80.265,Measured,-1013.62,520.126,-41.505,Measured
84,0.83,0,0,0,,-996.159,475.317,-79.33,Measured,-1013.436,520.074,-41.537,Measured
85,0.84,0,0,0,,-997.657,473.539,-81.077,Measured,-1013.628,520.012,-41.643,Measured
86,0.85,0,0,0,,-996.194,474.906,-79.216,Measured,-1013.532,519.912,-41.573,Measured
